scientific_name	AphiaID	Match type	ScientificName	Authority	status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Olisthodiscus luteus	233765	exact	Olisthodiscus luteus	N.Carter, 1937	accepted	233765	Olisthodiscus luteus	N.Carter, 1937	Chromista	Ochrophyta	Olisthodiscophyceae	Olisthodiscales	Olisthodiscaceae	Olisthodiscus		luteus	
Ulvaria fusca	145947	exact	Ulvaria fusca	(Wittrock) Vinogradova, 1967	unaccepted	494992	Ulvaria splendens	(Ruprecht) K.L.Vinogradova, 1979	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulvaria		fusca	
Ostreobium quekettii	145095	phonetic	Ostreobium queckettii	Bornet & Flahault, 1889	accepted	145095	Ostreobium queckettii	Bornet & Flahault, 1889	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Ostreobiaceae	Ostreobium		queckettii	
Blastophysa rhizopus	144478	exact	Blastophysa rhizopus	Reinke, 1889	accepted	144478	Blastophysa rhizopus	Reinke, 1889	Plantae	Chlorophyta	Ulvophyceae	Ulvophyceae incertae sedis		Blastophysa		rhizopus	
Vaucheria dillwynii	656435	exact	Vaucheria dillwynii	(F.Weber & D.Mohr) C.Agardh, 1811	accepted	656435	Vaucheria dillwynii	(F.Weber & D.Mohr) C.Agardh, 1811	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		dillwynii	
Heterocapsa triquetra	110153	exact	Heterocapsa triquetra	(Ehrenberg) F.Stein, 1883	unaccepted	1346683	Kryptoperidinium triquetrum	(Ehrenberg) U.Tillmann, M. Gottschling, M.Elbrächter, W.-H.Kusber & M.Hoppenrath, 2019	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		triquetra	
Heterocapsa rotundata	110152	exact	Heterocapsa rotundata	(Lohmann) Gert Hansen, 1995	accepted	110152	Heterocapsa rotundata	(Lohmann) Gert Hansen, 1995	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		rotundata	
Chlamydomonas sp.	178583	exact	Chlamydomonas	Ehrenberg, 1833	accepted	178583	Chlamydomonas	Ehrenberg, 1833	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas			
Scrippsiella trochoidea var. aciculifera	672261	match_quarantine	Scrippsiella trochoidea var. aciculifera	M.Montresor, 1999	accepted	672261	Scrippsiella trochoidea var. aciculifera	M.Montresor, 1999	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella		trochoidea	
Bigelowiella natans	376277	exact	Bigelowiella natans	Moestrup, 2001	accepted	376277	Bigelowiella natans	Moestrup, 2001	Chromista	Cercozoa	Chlorarachnea	Chlorachniida	Chlorarachniaceae	Bigelowiella		natans	
Asperococcus fistulosus	145313	exact	Asperococcus fistulosus	(Hudson) W.J.Hooker, 1833	accepted	145313	Asperococcus fistulosus	(Hudson) W.J.Hooker, 1833	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Asperococcus		fistulosus	
Hemiselmis sp.	106287	exact	Hemiselmis	Parke, 1949	accepted	106287	Hemiselmis	Parke, 1949	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae	Hemiselmis			
Porphyridium purpureum	145788	exact	Porphyridium purpureum	(Bory) K.M.Drew & R.Ross, 1965	accepted	145788	Porphyridium purpureum	(Bory) K.M.Drew & R.Ross, 1965	Plantae	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium		purpureum	
Hincksia ovata	145438	exact	Hincksia ovata	(Kjellman) P.C.Silva, 1987	accepted	145438	Hincksia ovata	(Kjellman) P.C.Silva, 1987	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Hincksia		ovata	
Stylonema alsidii	145688	exact	Stylonema alsidii	(Zanardini) K.M.Drew, 1956	accepted	145688	Stylonema alsidii	(Zanardini) K.M.Drew, 1956	Plantae	Rhodophyta	Stylonematophyceae	Stylonematales	Stylonemataceae	Stylonema		alsidii	
Feldmannia irregularis	145415	exact	Feldmannia irregularis	(Kützing) Hamel, 1939	accepted	145415	Feldmannia irregularis	(Kützing) Hamel, 1939	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Feldmannia		irregularis	
Microcystis aeruginosa	146558	exact	Microcystis aeruginosa	(Kützing) Kützing, 1846	accepted	146558	Microcystis aeruginosa	(Kützing) Kützing, 1846	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis		aeruginosa	
Dolichospermum lemmermannii	625374	exact	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	accepted	625374	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum		lemmermannii	
Microcystis sp.	146557	exact	Microcystis	Lemmermann, 1907	accepted	146557	Microcystis	Lemmermann, 1907	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis			
Planktothrix cf. agardhii	146552	exact	Planktothrix agardhii	(Gomont) Anagnostidis & Komárek, 1988	accepted	146552	Planktothrix agardhii	(Gomont) Anagnostidis & Komárek, 1988	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix		agardhii	
Audouinella pectinata	146530	exact	Audouinella pectinata	(Kylin) Papenfuss, 1945	unaccepted	1310072	Grania pectinata	(Kylin) Athanasiadis, 2016	Plantae	Rhodophyta	Florideophyceae	Acrochaetiales	Audouinellaceae	Audouinella		pectinata	
Nephroselmis pyriformis	134541	exact	Nephroselmis pyriformis	(N.Carter) Ettl, 1982	accepted	134541	Nephroselmis pyriformis	(N.Carter) Ettl, 1982	Plantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis		pyriformis	
Coelastrum sp.	160550	exact	Coelastrum	Nägeli, 1849	accepted	160550	Coelastrum	Nägeli, 1849	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Coelastrum			
Haptolina ericina	624976	exact	Haptolina ericina	(Parke & Manton) Edvardsen & Eikrem, 2011	accepted	624976	Haptolina ericina	(Parke & Manton) Edvardsen & Eikrem, 2011	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Haptolina		ericina	
Prymnesium kappa	624968	exact	Prymnesium kappa	(Parke & Manton) Edvardsen, Eikrem & Probert, 2011	accepted	624968	Prymnesium kappa	(Parke & Manton) Edvardsen, Eikrem & Probert, 2011	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium		kappa	
Vaucheria prona	610095	exact	Vaucheria prona	T.A.Christensen, 1970	accepted	610095	Vaucheria prona	T.A.Christensen, 1970	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		prona	
Planktothrix rubescens	572064	exact	Planktothrix rubescens	(De Candolle ex Gomont) Anagnostidis & Komárek, 1988	accepted	572064	Planktothrix rubescens	(De Candolle ex Gomont) Anagnostidis & Komárek, 1988	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix		rubescens	
Hincksia hincksiae	145435	exact	Hincksia hincksiae	(Harvey) P.C.Silva, 1987	accepted	145435	Hincksia hincksiae	(Harvey) P.C.Silva, 1987	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Hincksia		hincksiae	
Chattonella subsalsa	246590	exact	Chattonella subsalsa	B.Biecheler, 1936	accepted	246590	Chattonella subsalsa	B.Biecheler, 1936	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Vacuolariaceae	Chattonella		subsalsa	
Vaucheria bursata s.l.	240524	exact	Vaucheria bursata	(O.F.Müller) C.Agardh, 1811	accepted	240524	Vaucheria bursata	(O.F.Müller) C.Agardh, 1811	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		bursata	
Chrysochromulina cymbium	115114	exact	Chrysochromulina cymbium	Leadbeater & Manton, 1969	accepted	115114	Chrysochromulina cymbium	Leadbeater & Manton, 1969	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		cymbium	
Dolichomastix tenuilepis	345463	exact	Dolichomastix tenuilepis	J.Throndsen & A.Zingone, 1997	accepted	345463	Dolichomastix tenuilepis	J.Throndsen & A.Zingone, 1997	Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix		tenuilepis	
Chrysochromulina ahrengotii	612313	exact	Chrysochromulina ahrengotii	M.Ø.Jensen & Ø.Moestrup, 1999	accepted	612313	Chrysochromulina ahrengotii	M.Ø.Jensen & Ø.Moestrup, 1999	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		ahrengotii	
Polarella glacialis	232248	exact	Polarella glacialis	M.Montresor, G.Procaccini & D.K.Stoecker, 1999	accepted	232248	Polarella glacialis	M.Montresor, G.Procaccini & D.K.Stoecker, 1999	Chromista	Myzozoa	Dinophyceae	Suessiales	Suessiaceae	Polarella		glacialis	
Dunaliella tertiolecta	178590	exact	Dunaliella tertiolecta	Butcher, 1959	accepted	178590	Dunaliella tertiolecta	Butcher, 1959	Plantae	Chlorophyta	Chlorophyceae	Volvocales	Dunaliellaceae	Dunaliella		tertiolecta	
Oxyrrhis marina	109902	exact	Oxyrrhis marina	Dujardin, 1841	accepted	109902	Oxyrrhis marina	Dujardin, 1841	Chromista	Myzozoa	Dinophyceae	Oxyrrhinales	Oxyrrhinaceae	Oxyrrhis		marina	
Asterosiphon dichotomus	616943	exact	Asterosiphon dichotomus	(Kützing) Vishnyakov, 2019	accepted	616943	Asterosiphon dichotomus	(Kützing) Vishnyakov, 2019	Chromista	Ochrophyta	Xanthophyceae	Botrydiales	Botrydiaceae	Asterosiphon		dichotomus	
Chrysochromulina scutellum	612318	exact	Chrysochromulina scutellum	Eikrem & Moestrup, 1998	uncertain				Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		scutellum	
Gymnodinium nolleri	109818	exact	Gymnodinium nolleri	M.Ellegaard & Ø.Moestrup, 1999	accepted	109818	Gymnodinium nolleri	M.Ellegaard & Ø.Moestrup, 1999	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium		nolleri	
Pylaiella littoralis	157188	exact	Pylaiella littoralis	(Linnaeus) Kjellman, 1872	accepted	157188	Pylaiella littoralis	(Linnaeus) Kjellman, 1872	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella		littoralis	
Prymnesium polylepis	670030	exact	Prymnesium polylepis	(Manton & Parke) Edvardsen, Eikrem & Probert, 2011	accepted	670030	Prymnesium polylepis	(Manton & Parke) Edvardsen, Eikrem & Probert, 2011	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium		polylepis	
Nitzschia navis-varingica	246595	exact	Nitzschia navis-varingica	N.Lundholm & Ø.Moestrup, 2000	accepted	246595	Nitzschia navis-varingica	N.Lundholm & Ø.Moestrup, 2000	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia		navis-varingica	
Dicrateria sp.	115085	exact	Dicrateria	Parke, 1949	accepted	115085	Dicrateria	Parke, 1949	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Dicrateria			
Rhodothamniella floridula	145777	exact	Rhodothamniella floridula	(Dillwyn) Feldmann, 1978	accepted	145777	Rhodothamniella floridula	(Dillwyn) Feldmann, 1978	Plantae	Rhodophyta	Florideophyceae	Palmariales	Rhodothamniellaceae	Rhodothamniella		floridula	
Pyramimonas melkonianii	643529	exact	Pyramimonas melkonianii	S.D.Sym & R.N Pienaar	accepted	643529	Pyramimonas melkonianii	S.D.Sym & R.N Pienaar	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		melkonianii	
Isochrysis sp.	248124	exact	Isochrysis	Parke, 1949	accepted	248124	Isochrysis	Parke, 1949	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis			
Protoceratium reticulatum	110321	exact	Protoceratium reticulatum	(Claparède & Lachmann) Bütschli, 1885	accepted	110321	Protoceratium reticulatum	(Claparède & Lachmann) Bütschli, 1885	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Protoceratium		reticulatum	
Fragilariopsis nana	556587	exact	Fragilariopsis nana	(Steemann Nielsen) Paasche, 1961	unassessed	664527	Fragilaria nana	Steemann Nielsen, 1935	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis		nana	
Prorocentrum lima	110301	exact	Prorocentrum lima	(Ehrenberg) F.Stein, 1878	accepted	110301	Prorocentrum lima	(Ehrenberg) F.Stein, 1878	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		lima	
Chrysochromulina acantha	115108	exact	Chrysochromulina acantha	Leadbeater & Manton, 1971	accepted	115108	Chrysochromulina acantha	Leadbeater & Manton, 1971	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		acantha	
Haramonas dimorpha	608356	exact	Haramonas dimorpha	Horiguchi, 1996	accepted	608356	Haramonas dimorpha	Horiguchi, 1996	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Vacuolariaceae	Haramonas		dimorpha	
Chrysotila placolithoides	840489	exact	Chrysotila placolithoides	(J.Fresnel & C.Billard) R.A.Andersen, J.I.Kim, Tittley & H.S.Yoon, 2014	accepted	840489	Chrysotila placolithoides	(J.Fresnel & C.Billard) R.A.Andersen, J.I.Kim, Tittley & H.S.Yoon, 2014	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Chrysotila		placolithoides	
Aglaothamnion byssoides	144490	exact	Aglaothamnion byssoides	(Arnott ex Harvey) C.F.Boudouresque & M.M.Perret-Boudouresque, 1987	unaccepted	144501	Aglaothamnion tenuissimum	(Bonnemaison) Feldmann-Mazoyer, 1941	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	Aglaothamnion		byssoides	
Crustomastix stigmatica	376127	exact	Crustomastix stigmatica	Zingone, 2002	accepted	376127	Crustomastix stigmatica	Zingone, 2002	Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Crustomastix		stigmatica	
Hormidiella parvula	617151	exact	Hormidiella parvula	Iyengar & Kanthamna, 1940	accepted	617151	Hormidiella parvula	Iyengar & Kanthamna, 1940	Plantae	Charophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Hormidiella		parvula	
Karlodinium armiger	370510	exact	Karlodinium armiger	Bergholtz, Daugbjerg & Moestrup, 2006	accepted	370510	Karlodinium armiger	Bergholtz, Daugbjerg & Moestrup, 2006	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium		armiger	
Skeletonema marinoi	376667	exact	Skeletonema marinoi	Sarno & Zingone, 2005	unassessed	376667	Skeletonema marinoi	Sarno & Zingone, 2005	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema		marinoi	
Jadwigia applanata	619820	exact	Jadwigia applanata	Moestrup, K. Lindberg & Daugbjerg, 2005	accepted	619820	Jadwigia applanata	Moestrup, K. Lindberg & Daugbjerg, 2005	Chromista	Myzozoa	Dinophyceae	Tovelliales	Tovelliaceae	Jadwigia		applanata	
Ulvella leptochaete	732246	exact	Ulvella leptochaete	(Huber) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	accepted	732246	Ulvella leptochaete	(Huber) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella		leptochaete	
Tetraselmis levis	376156	exact	Tetraselmis levis	Butcher, 1959	accepted	376156	Tetraselmis levis	Butcher, 1959	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		levis	
Borghiella dodgei	623370	exact	Borghiella dodgei	Moestrup, Gert Hansen & Daugberg, 2008	accepted	623370	Borghiella dodgei	Moestrup, Gert Hansen & Daugberg, 2008	Chromista	Myzozoa	Dinophyceae	Suessiales	Borghiellaceae	Borghiella		dodgei	
Heterocapsa pygmaea	233625	exact	Heterocapsa pygmaea	Lobelich III, R.J.Schmidt & Sherley, 1981	accepted	233625	Heterocapsa pygmaea	Lobelich III, R.J.Schmidt & Sherley, 1981	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		pygmaea	
Peridinium willei	110198	exact	Peridinium willei	Huitfeldt-Kaas, 1900	accepted	110198	Peridinium willei	Huitfeldt-Kaas, 1900	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Peridinium		willei	
Unident. cyanophyte sp.																	
Microcystis botrys	578236	exact	Microcystis botrys	Teiling, 1942	accepted	578236	Microcystis botrys	Teiling, 1942	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis		botrys	
Cladophora rupestris	145064	exact	Cladophora rupestris	(Linnaeus) Kützing, 1843	accepted	145064	Cladophora rupestris	(Linnaeus) Kützing, 1843	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Cladophora		rupestris	
Alexandrium tamarense	109714	exact	Alexandrium tamarense	(Lebour) Balech, 1995	accepted	109714	Alexandrium tamarense	(Lebour) Balech, 1995	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		tamarense	
Gymnodinium corollarium	623645	exact	Gymnodinium corollarium	A.M.Sundström, Kremp & Daugbjerg, 2009	accepted	623645	Gymnodinium corollarium	A.M.Sundström, Kremp & Daugbjerg, 2009	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium		corollarium	
Apocalathium aciculiferum	1359179	exact	Apocalathium aciculiferum	(Lemmermann) Craveiro, Daugbjerg, Moestrup & Calado, 2016	accepted	1359179	Apocalathium aciculiferum	(Lemmermann) Craveiro, Daugbjerg, Moestrup & Calado, 2016	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Apocalathium		aciculiferum	
Alexandrium minutum	109711	exact	Alexandrium minutum	Halim, 1960	accepted	109711	Alexandrium minutum	Halim, 1960	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		minutum	
Mougeotia genuflexa	609346	exact	Mougeotia genuflexa	(Roth) C.Agardh, 1824	accepted	609346	Mougeotia genuflexa	(Roth) C.Agardh, 1824	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Mougeotia		genuflexa	
Zygnema subcylindricum	614102	exact	Zygnema subcylindricum	Krieger, 1941	accepted	614102	Zygnema subcylindricum	Krieger, 1941	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Zygnema		subcylindricum	
Oedogonium cardiacum	608526	exact	Oedogonium cardiacum	Wittrock ex Hirn, 1900	accepted	608526	Oedogonium cardiacum	Wittrock ex Hirn, 1900	Plantae	Chlorophyta	Chlorophyceae	Oedogoniales	Oedogoniaceae	Oedogonium		cardiacum	
Phaeothamnion sp.	600910	exact	Phaeothamnion	G.Lagerheim, 1884	accepted	600910	Phaeothamnion	G.Lagerheim, 1884	Chromista	Ochrophyta	Phaeothamniophyceae	Phaeothamniales	Phaeothamniaceae	Phaeothamnion			
Calothrix parietina	239094	exact	Calothrix parietina	Thuret ex Bornet & Flahault, 1886	accepted	239094	Calothrix parietina	Thuret ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Rivulariaceae	Calothrix		parietina	
Cosmarium obtusatum	611104	exact	Cosmarium obtusatum	(Schmidle) Schmidle, 1898	accepted	611104	Cosmarium obtusatum	(Schmidle) Schmidle, 1898	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Cosmarium		obtusatum	
Desmodesmus armatus	612499	exact	Desmodesmus armatus	(Chodat) E.H.Hegewald, 2000	accepted	612499	Desmodesmus armatus	(Chodat) E.H.Hegewald, 2000	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Desmodesmus		armatus	
Chlamydomonas debaryana	608403	exact	Chlamydomonas debaryana	Goroschankin [Gorozhankin], 1891	accepted	608403	Chlamydomonas debaryana	Goroschankin [Gorozhankin], 1891	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		debaryana	
Gonium pectorale	577672	exact	Gonium pectorale	O.F.Müller, 1773	accepted	577672	Gonium pectorale	O.F.Müller, 1773	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Goniaceae	Gonium		pectorale	
Volvox aureus	578347	exact	Volvox aureus	Ehrenberg, 1832	accepted	578347	Volvox aureus	Ehrenberg, 1832	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox		aureus	
Pterothamnion plumula	144683	exact	Pterothamnion plumula	(J.Ellis) Nägeli, 1855	accepted	144683	Pterothamnion plumula	(J.Ellis) Nägeli, 1855	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Pterothamnion		plumula	
Ophiocytium arbusculum	610076	near_2	Ophiocytium arbuscula	(A.Braun ex Kützing) Sande Lacoste & Suringar, 1861	accepted	610076	Ophiocytium arbuscula	(A.Braun ex Kützing) Sande Lacoste & Suringar, 1861	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Ophiocytiaceae	Ophiocytium		arbuscula	
Chlamydomonas reinhardtii	608420	exact	Chlamydomonas reinhardtii	P.A.Dangeard, 1888	accepted	608420	Chlamydomonas reinhardtii	P.A.Dangeard, 1888	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		reinhardtii	
Pandorina morum	577877	exact	Pandorina morum	(O.F.Müller) Bory, 1827	accepted	577877	Pandorina morum	(O.F.Müller) Bory, 1827	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Pandorina		morum	
Spirogyra singularis	609404	exact	Spirogyra singularis	Nordstedt, 1880	accepted	609404	Spirogyra singularis	Nordstedt, 1880	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Spirogyra		singularis	
Porphyridium aerugineum	145787	exact	Porphyridium aerugineum	Geitler, 1923	accepted	145787	Porphyridium aerugineum	Geitler, 1923	Plantae	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium		aerugineum	
Acrosiphonia sonderi	144412	exact	Acrosiphonia sonderi	(Kützing) Kornmann, 1962	accepted	144412	Acrosiphonia sonderi	(Kützing) Kornmann, 1962	Plantae	Chlorophyta	Chlorophyceae	Acrosiphoniales	Acrosiphoniaceae	Acrosiphonia		sonderi	
Cryptomonas sp.	106282	exact	Cryptomonas	Ehrenberg, 1831	accepted	106282	Cryptomonas	Ehrenberg, 1831	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas			
Draparnaldia sp.	422898	exact	Draparnaldia	Bory de Saint-Vincent, 1808	accepted	422898	Draparnaldia	Bory de Saint-Vincent, 1808	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Draparnaldia			
Pediastrum sp.	160561	exact	Pediastrum	Meyen, 1829	accepted	160561	Pediastrum	Meyen, 1829	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum			
Staurastrum hexacerum	578393	exact	Staurastrum hexacerum	Wittrock, 1872	accepted	578393	Staurastrum hexacerum	Wittrock, 1872	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Staurastrum		hexacerum	
Ditylum brightwellii	149023	exact	Ditylum brightwellii	(T.West) Grunow, 1885	unassessed	149023	Ditylum brightwellii	(T.West) Grunow, 1885	Chromista	Bacillariophyta	Bacillariophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum		brightwellii	
Tovellia coronata	619818	exact	Tovellia coronata	(Woloszynska) Moestrup, K.Lindberg & Daugbjerg, 2005	accepted	619818	Tovellia coronata	(Woloszynska) Moestrup, K.Lindberg & Daugbjerg, 2005	Chromista	Myzozoa	Dinophyceae	Tovelliales	Tovelliaceae	Tovellia		coronata	
Scrippsiella sp.	109545	exact	Scrippsiella	Balech ex A.R.Loeblich III, 1965	accepted	109545	Scrippsiella	Balech ex A.R.Loeblich III, 1965	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella			
Coscinodiscus granii	149271	exact	Coscinodiscus granii	Gough, 1905	accepted	149271	Coscinodiscus granii	Gough, 1905	Chromista	Bacillariophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus		granii	
Bangia atropurpurea	144423	exact	Bangia atropurpurea	(Mertens ex Roth) C.Agardh, 1824	accepted	144423	Bangia atropurpurea	(Mertens ex Roth) C.Agardh, 1824	Plantae	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Bangia		atropurpurea	
Ulothrix sp.	144287	exact	Ulothrix	Kützing, 1833	accepted	144287	Ulothrix	Kützing, 1833	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Ulothrix			
Levanderina fissa	840689	exact	Levanderina fissa	(Levander) Moestrup, Hakanen, Gert Hansen, Daugbjerg & M.Ellegaard, 2014	accepted	840689	Levanderina fissa	(Levander) Moestrup, Hakanen, Gert Hansen, Daugbjerg & M.Ellegaard, 2014	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina		fissa	
Symbiodinium sp.	109572	exact	Symbiodinium	Freudenthal, 1962	accepted	109572	Symbiodinium	Freudenthal, 1962	Chromista	Myzozoa	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium			
Chaetomorpha linum	145027	exact	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	accepted	145027	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Chaetomorpha		linum	
Protectocarpus speciosus	144986	exact	Protectocarpus speciosus	(Børgesen) Kornmann, 1955	accepted	144986	Protectocarpus speciosus	(Børgesen) Kornmann, 1955	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Protectocarpus		speciosus	
Carteria sp.	367250	exact	Carteria	Diesing, 1866	accepted	367250	Carteria	Diesing, 1866	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Carteria			
Schizogonium sp.	494176	exact	Schizogonium	Kützing, 1843	accepted	494176	Schizogonium	Kützing, 1843	Plantae	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolaceae	Schizogonium			
Pterosperma sp.	160595	exact	Pterosperma	Pouchet, 1893	accepted	160595	Pterosperma	Pouchet, 1893	Plantae	Chlorophyta	Prasinophyceae	Halosphaerales	Pterospermataceae	Pterosperma			
